CASEID,CONSENT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8a,Q8b,Q8c,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q10h,Q10i,Q10j,Q10k,Q10l,Q10m,Q10n,Q10o,Q10p,Q10q,Q10r,Q11a,Q11b,Q11c,Q11c_1,Q11c_2,Q11c_3,Q11c_4,Q11c_5,Q11c_6,Q11c_7,Q11c_8,Q11c_9,Q11c_10,Q11c_11,Q11c_12,Q11c_13,Q11c_14,Q11c_15,Q11c_16,Q11c_17,Q11c_18,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q14,Q15,Q16,Q16x,Q17,Q18,Q19,Q20a,Q20b,Q21,Q23,Q24,Q25,Q32a,Q32b,Q33,Q34,Q35,Q36,Q40,Q41,Q42,Q42x,Q43,AGE,Gender,Q16a,Q16b,Q16c,Q16c_1,Q16c_2,Q16c_3,Q16c_4,Q16c_5,Q16c_6,Q16d1,Q16d2,Q16d3,party,CNTY,FIPS,HOME,PERMAV,CD,SD,AD,F13,F14,F15,F16,F17,F18,F19,F20,EndDate,Durationinseconds,Finished,RecordedDate,lang,WEIGHT,ETHNICITY,LIKELY_2020_PRIMARY,LIKELY_2020_GENERAL
  43,1,2,4,4,4,2,2,1, ,1, , ,1,1,3,3,3,3,1,3,3,1,1,3,1,3,3,3,3,3,13,11,",10,                                           ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,4,2,2,3,1,2,2,1,2,1,2,2,1,1,4,2,1,1,1,1,3,1,1,4,1,2,1, ,5,5,"20                                                                                                                                                                                                                                            ",1,1, ,2,2,6,20,2,6,1,"       ", , , , , , ,2,3,2,"        Democrat",41, 81,"H","Y",14,13,22,"N","N","N","N","N","A","N","A","04-JUN-2019 11:32:04",   784,1,"04-JUN-2019 11:32:04",1, 0.28979,2,1,1
  44,1,2,4,4,5,1,2,1,2, , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,1,1,1,2, ,1,1,1,2,1, ,4,5,"2                                                                                                                                                                                                                                             ",3,1, ,2,2,1,26,2,5,2,"      1",1,0,0,0,0,0,3,3,4,"      Republican",37, 73,"H"," ",52,38,77,"N","N","N","N","N","P","P","P","04-JUN-2019 11:32:23",   500,1,"04-JUN-2019 11:32:23",1, 1.13558,1,2,1
  45,1,2,4,5,4,2,2,1, ,1, , ,1,1,2,3,1,3,2,3,3,2,1,3,2,3,3,3,3,3, 2,11,",7,13,                                         ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,1,3,1,1,4,1,2,1, ,5,1,"3                                                                                                                                                                                                                                             ",3,1, ,2,1,5,38,2,8,2,"      1",1,0,0,0,0,0,1,3,3,"        Democrat",30, 59,"H"," ",45,37,74,"N","N","N","P","P","A","P","A","04-JUN-2019 11:32:48",   462,1,"04-JUN-2019 11:32:49",1, 0.41328,1,1,1
  46,1,2,4,5,5,1,2,1, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,1,2,1,2,2, ,1,1,1,2,3,2,4,5,"13                                                                                                                                                                                                                                            ",1,1, ,2,2,1,20,2,5,2,"      1",1,0,0,0,0,0,1,4,1,"           Other",57,113,"H","Y", 3, 3, 4,"N","N","N","N","N","N","N","A","04-JUN-2019 11:33:15",   739,1,"04-JUN-2019 11:33:16",1, 0.25023,1,2,1
  47,1,2,3,2,2,4,1,4, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,3,2,4,2,4,2,1,4,2,3,4,3,3,1,"5                                                                                                                                                                                                                                             ",1,1, ,2,2,5,33,2,4,2,"      1",1,0,0,0,0,0,3,2,2,"           Other", 9, 17,"H"," ", 4, 1, 5,"N","N","N","A","P","P","P","P","04-JUN-2019 11:33:40",   406,1,"04-JUN-2019 11:33:40",1, 0.90190,1,2,1
  48,1,2,4,4,4,1,2,1, ,1, , ,3,2,1,3,1,3,1,3,3,1,1,3,1,3,3,3,3,3,11,13,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,4,2,2,2,3,2,1, ,1,3,1,2,1, ,5,5,"2                                                                                                                                                                                                                                             ",3,1, ,2,2,6,23,2,7,2,"      1",1,0,0,0,0,0,2,2,3,"        Democrat",49, 97,"H"," ", 5, 2,10,"N","N","N","N","N","N","P","P","04-JUN-2019 11:34:07",   682,1,"04-JUN-2019 11:34:07",1, 0.13456,1,1,1
  49,1,2,4,4,5,2,2,3, ,1, , ,1,1,2,1,2,3,2,3,1,1,1,3,2,3,3,1,3,3,10,11,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,1,3,3,2,3,2,1,3,2,2,2,1,1,4,2,3,1,1,1,3,1,1,1,1,1,1, ,5,5,"3                                                                                                                                                                                                                                             ",3,2, ,2,2,5,36,2,8,2,"      1",1,0,0,0,0,0,1,2,3,"        Democrat",19, 37," ","Y",37,26,54,"N","P","N","N","P","P","A","A","04-JUN-2019 11:34:12",   423,1,"04-JUN-2019 11:34:12",1, 0.48852,1,1,1
  50,1,2,4,4,5,2,2,1, ,1, , ,3,1,1,2,3,3,1,2,1,2,2,3,2,3,3,3,3,3, 7, 2,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,1,2,1,2,1, ,5,5,"10                                                                                                                                                                                                                                            ",3,2, ,2,1,4,18,2,5,2,"      1",1,0,0,0,0,0,2,2,2,"        Democrat",19, 37,"H","Y",30,27,45,"N","N","N","N","N","N","N","A","04-JUN-2019 11:34:16",  1393,1,"04-JUN-2019 11:34:16",1, 0.21319,1,1,1
  51,1,2,3,3,3,2,1,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,2,2,3,2,3,2,1,4,2,2,4,3,3,1,"1.5                                                                                                                                                                                                                                           ",2,1, ,2,2,4,33,2,6,2,"      1",1,0,0,0,0,0,2,2,2,"Decline to State",33, 65," ","Y",42,23,67,"N","N","N","N","N","N","N","A","04-JUN-2019 11:34:18",   512,1,"04-JUN-2019 11:34:19",1, 1.15473,1,2,1
  52,1,2,2,3,3,3,1,2, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,3,2,3,2,4,2,2,4,1,1,1, ,2,5,"10                                                                                                                                                                                                                                            ",2,1, ,1,2,2,33,2,7,1,"       ", , , , , , ,3,4,4,"        Democrat",19, 37," "," ",28,25,43,"N","P","N","N","P","P","N","P","04-JUN-2019 11:34:30",   820,1,"04-JUN-2019 11:34:31",1, 0.38907,2,2,1
  53,1,1,1,1,1,4,1,1, , ,4, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,4,2,4,1,1,4,2,1,2, ,3,2,"24                                                                                                                                                                                                                                            ",1,1, ,2,2,3,24,2,8,1,"       ", , , , , , ,4,4,4,"Decline to State",30, 59,"H","Y",39,29,65,"N","N","N","N","P","A","N","P","04-JUN-2019 11:34:46",   819,1,"04-JUN-2019 11:34:46",1, 0.07672,2,2,1
  54,1,2,4,4,5,2,2,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,1,1,3,1,1,1,1,2,1, ,5,5,"7                                                                                                                                                                                                                                             ",3,1, ,2,2,3,34,2,8,1,"       ", , , , , , ,2,2,2,"        Democrat", 1,  1," "," ",13, 9,15,"N","P","P","P","P","P","P","P","04-JUN-2019 11:34:55",   338,1,"04-JUN-2019 11:34:56",1, 0.35643,2,2,2
  55,1,1,3,3,3,2,1,2, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,3,2,2,1,2, ,2,1,1,1,1, ,3,5,"2                                                                                                                                                                                                                                             ",1,1, ,2,2,4,20,2,6,1,"       ", , , , , , ,1,1,1,"        Democrat",30, 59," ","Y",45,37,74,"N","N","N","N","N","A","N","N","04-JUN-2019 11:34:59",   803,1,"04-JUN-2019 11:34:59",1, 0.76360,2,2,1
  56,1,2,4,4,4,2,2,2, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,2,2,1,3,1,2,2,1,1,1, ,3,5,"20                                                                                                                                                                                                                                            ",1,1, ,2,2,2,20,2,5,1,"       ", , , , , , ,1,1,1,"        Democrat",19, 37," ","Y",43,35,62,"N","N","N","N","N","N","N","N","04-JUN-2019 11:35:01",  1023,1,"04-JUN-2019 11:35:01",1, 1.56720,2,2,2
  57,1,2,4,5,5,2,2,1, ,1, , ,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3, 7, 9,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,1,3,3,1,2,2,1,2,1,1,2,1,1,4,3,1,2,4,2,1, ,1,1,2,1,1, ,5,2,"0                                                                                                                                                                                                                                             ",3,1, ,2,2,3,24,2,7,2,"      3",0,0,1,0,0,0,4,2,2,"        Democrat",19, 37," "," ",38,32,63,"N","N","N","N","N","N","N","P","04-JUN-2019 11:35:02",   611,1,"04-JUN-2019 11:35:02",1, 0.13503,4,1,1
  58,1,2,4,4,5,2,2,1, ,1, , ,3,1,3,3,3,3,1,2,3,3,1,3,1,3,3,3,3,3, 7,13,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1, ,1,1,1,1,1, ,5,5,"8 years                                                                                                                                                                                                                                       ",2,1, ,2,1,5,33,2,8,1,"       ", , , , , , ,1,1,1,"        Democrat",19, 37," "," ",43,35,66,"N","A","N","N","N","P","P","P","04-JUN-2019 11:35:02",   483,1,"04-JUN-2019 11:35:04",1, 0.52802,2,1,1
  59,1,2,4,4,5,2,2,1, , ,1, ,1,1,1,1,3,1,1,3,3,3,1,3,2,3,3,3,3,3,11, 3,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,2, ,1,3,1,3,4,2,5,2,"3                                                                                                                                                                                                                                             ",1,1, ,2,1,5,27,2,7,2,"      1",1,0,0,0,0,0,1,2,2,"Decline to State", 7, 13," ","Y",11, 7,14,"N","N","N","N","N","A","N","A","04-JUN-2019 11:35:10",   837,1,"04-JUN-2019 11:35:10",1, 0.41407,1,1,1
  60,1,2,4,4,5,1,2,1, ,1, , ,3,1,3,1,3,3,1,3,3,3,1,3,1,3,3,3,3,3, 2,13,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,2,2,1,2,1,1,2,1,1,1,1,1,4,3,2,1,1,1,3,1,1,2,1,3,1, ,5,3,"0.5                                                                                                                                                                                                                                           ",1,1, ,2,1,4,39,2,8,2,"      1",1,0,0,0,0,0,2,3,3,"        Democrat",34, 67," ","Y", 6, 6, 7,"N","P","N","N","P","P","N","A","04-JUN-2019 11:36:16",   525,1,"04-JUN-2019 11:36:16",1, 0.42533,1,1,1
  61,1,2,4,3,5,2,2,1, ,1, , ,3,1,3,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3, 7,11,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,1,2,1,1,1,1,1,1,1,1,4,2,1,1,2,1,2, ,1,3,1,3,1, ,5,5,"2                                                                                                                                                                                                                                             ",2,1, ,2,2,2,22,2,7,2,"      1",1,0,0,0,0,0,2,2,3,"        Democrat",37, 73,"H","Y",52,39,78,"N","N","N","A","A","A","A","A","04-JUN-2019 11:36:19",   786,1,"04-JUN-2019 11:36:20",1, 0.09066,1,1,1
  62,1,2,4,5,5,2,2,1, ,1, , ,1,1,2,1,1,1,2,3,3,1,2,3,1,1,1,3,3,3,19,  ,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,2,2,2,3,1,2,3,1,2,2,1,1,4,2,3,1,1,1,3,1,2,3,1,4,1, ,4,1,"2                                                                                                                                                                                                                                             ",2,1, ,2,2,6,32,2,7,2,"      1",1,0,0,0,0,0,2,4,4,"        Democrat",43, 85," "," ",19,15,27,"N","N","N","N","N","N","P","P","04-JUN-2019 11:36:25",   555,1,"04-JUN-2019 11:36:26",1, 0.48501,1,1,1
  63,1,2,4,3,5,2,2,1, ,1, , ,1,1,2,1,1,1,2,2,2,1,1,3,2,3,3,3,3,2, 2,11,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,4,2,2,3,2,3,1,1,1,1,1,1,1,1,4,2,1,2,4,2,4,1,1,2,2,2,1, ,4,5,"18                                                                                                                                                                                                                                            ",2,1, ,1,1,6,20,2,6,2,"      1",1,0,0,0,0,0,2,4,3,"        Democrat",36, 71,"H","Y", 8,23,42,"N","N","N","N","N","N","N","A","04-JUN-2019 11:36:32",   574,1,"04-JUN-2019 11:36:33",1, 0.30749,1,1,1
  64,1,2,4,5,5,1,1,1, ,1, , ,3,1,3,1,3,3,2,3,1,1,1,3,1,3,3,3,3,3,13,11,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2, ,1,1,1,1,1, ,4,1,"2                                                                                                                                                                                                                                             ",2,1, ,2,2,5,34,2,7,2,"      3",0,0,1,0,0,0,2,1,2,"        Democrat",19, 37," ","Y",43,35,62,"N","A","P","P","N","A","A","A","04-JUN-2019 11:36:59",   569,1,"04-JUN-2019 11:37:01",1, 0.53354,4,1,1
  65,1,2,4,5,5,3,2,3, ,1, , ,3,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,13, 2,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,1,2,1,1,1,1,3,2,2,2,1,1,4,2,1,1,1,1,2, ,2,2,1,1,1, ,4,5,"7                                                                                                                                                                                                                                             ",2,1, ,2,2,5,19,2,3,2,"      3",0,0,1,0,0,0,2,1,1,"        Democrat",30, 59,"H"," ",45,37,68,"N","N","N","N","N","N","N","P","04-JUN-2019 11:37:06",   626,1,"04-JUN-2019 11:37:08",1, 0.75713,4,1,1
  66,1,2,4,5,5,2,2,1, ,1, , ,3,1,1,3,3,3,1,3,3,1,1,3,2,3,3,3,3,3,11, 2,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,3,2,1,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,3,1,1,1,1,1,1, ,5,1,"5                                                                                                                                                                                                                                             ",2,1, ,2,2,6,31,2,8,2,"      1",1,0,0,0,0,0,4,4,4,"        Democrat",43, 85," ","Y",17,13,24,"N","P","N","A","A","A","A","A","04-JUN-2019 11:37:39",   339,1,"04-JUN-2019 11:37:39",1, 0.48501,1,1,1
  67,1,2,4,5,5,2,2,1, ,1, , ,3,1,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3, 2,11,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,4,3,1,2,2,1,4,1,1,1,1,1,1, ,5,1,"5                                                                                                                                                                                                                                             ",2,1, ,2,2,5,35,2,8,2,"      1",1,0,0,0,0,0,2,2,2,"        Democrat",28, 55," ","Y", 5, 3, 4,"N","N","N","N","N","A","N","N","04-JUN-2019 11:37:38",   719,1,"04-JUN-2019 11:37:40",1, 1.74317,1,2,1
  68,1,2,4,5,5,1,2,1, ,1, , ,1,1,1,1,1,3,2,3,3,1,1,3,1,3,1,3,3,3,11, 2,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,2,2,3,3,3,1,2,1,2,1,1,1,1,4,2,1,1,1,1,3,2,1,1,2,2,1, ,5,1,"7                                                                                                                                                                                                                                             ",2,1, ,2,2,5,31,2,5,2,"      1",1,0,0,0,0,0,3,3,3,"        Democrat",19, 37," ","Y",28,25,43,"N","P","P","P","A","P","A","A","04-JUN-2019 11:38:00",   792,1,"04-JUN-2019 11:38:01",1, 0.76841,1,1,1
